0,2,166,7,0,0,0,2,120,14,44,32,33,74,1,64,122,159,0,21,347,993,0,6,189,25,14,3,1
1,0,107,2,0,1,1,15,606,22,234,64,32,127,0,183,343,1348,0,1187,1128,599,0,49,127,19,22,0,0
1,1,201,2,1,3,0,5,925,39,126,243,21,46,3,337,2184,2738,13,926,2218,1424,0,64,52,75,7,1,1
0,0,119,3,1,1,1,22,433,70,89,346,11,109,3,90,1059,2012,5,265,4832,703,0,24,56,36,1,0,1
3,1,150,5,0,1,0,125,333,60,24,152,10,39,5,99,538,478,27,153,502,224,0,21,41,30,9,0,1
2,0,57,4,0,2,0,18,320,24,13,137,3,18,10,90,300,638,56,46,340,120,1,12,35,3,7,0,0
0,0,59,4,0,3,2,8,170,20,29,135,6,13,9,34,162,532,5,36,257,104,0,11,7,11,9,0,0
0,2,56,8,0,1,0,3,297,118,9,106,5,73,24,43,94,206,0,162,429,269,1,16,18,2,1,1,0
0,3,108,0,0,1,11,129,483,244,59,134,19,89,94,38,59,273,11,331,940,322,0,744,27,1,0,0,0
0,1,185,1,0,1,0,0,50,65,41,60,6,30,5,5,56,93,6,90,604,516,1,32,56,14,4,2,0
0,2,308,7,1,0,0,0,34,45,0,47,8,26,4,15,35,105,0,69,534,234,0,32,120,8,10,1,0
1,1,407,14,1,3,0,43,9,23,17,41,3,128,1,12,21,23,2,65,429,75,0,39,250,6,11,98,0
2,98,385,5,7,11,1,441,40,55,9,51,7,181,15,20,47,72,3,51,146,77,13,58,231,79,10,0,0
0,10,256,3,0,1,0,1,55,34,4,68,3,90,44,7,103,56,0,21,94,49,114,31,67,14,33,2,0
0,9,280,3,5,1,0,3,477,46,32,285,1,225,84,315,957,153,5,288,317,296,96,29,123,18,10,2,0
1,0,254,6,3,3,2,27,468,93,163,256,1,104,104,84,2442,1305,164,680,1463,564,329,34,110,10,8,6,7
0,160,223,4,5,0,0,26,30,114,112,237,1,129,116,53,1001,504,97,234,616,154,36,14,27,9,4,0,0
0,1,147,0,2,8,0,7,21,144,87,112,4,50,298,12,175,192,13,138,531,64,1119,12,23,4,0,0,0
1,0,119,0,0,0,0,0,70,41,20,48,1,77,119,13,116,77,5,38,316,42,100,8,16,9,1,0,0
0,5,225,0,2,0,0,2,100,87,3,30,21,296,120,7,99,42,3,13,145,51,25,7,11,8,1,1,0
0,15,305,0,1,1,5,0,110,62,9,41,3,143,83,21,245,45,52,24,341,108,801,20,23,9,1,0,1
4,21,374,3,3,1,0,25,195,112,10,36,6,95,78,35,98,290,4,179,158,2016,541,18,45,10,121,0,1
49,26,566,32,38,14,0,40,178,224,10,46,33,341,67,40,420,373,5,536,557,2264,559,32,196,11,578,28,7
63,32,782,23,0,25,0,456,254,85,18,56,15,154,77,57,210,125,0,141,473,1153,20,79,238,9,219,15,14
48,34,524,11,10,4,0,82,441,78,52,66,27,237,72,49,76,350,9,83,225,91,514,49,122,34,6,9,6
24,15,509,8,6,1,2,2050,338,113,29,74,5,98,280,204,186,129,3,96,99,75,24,31,56,17,5,0,0
127,623,579,8,29,1,2,1739,2128,532,187,281,62,872,307,57,2781,623,10,127,484,368,1573,60,946,70,179,777,3
27,292,1042,217,30,2,0,604,806,307,123,222,36,823,153,93,1679,43,19,206,302,552,1496,88,802,29,812,1289,1
0,4,806,456,3,3,0,11,58,62,29,196,3,118,46,29,671,138,0,125,181,216,266,20,1381,3,164,194,0
1,0,289,2,0,2,0,4,38,51,62,216,4,58,23,26,2096,234,1,107,77,102,18,11,476,2,33,2,0
0,3,181,4,0,1,13,39,351,69,85,656,5,126,171,100,341,434,1,150,164,49,33,3,55,2,2,0,0
3,15,304,1,4,0,35,41,102,119,29,56,4,279,245,158,92,12,3,61,93,44,45,5,46,9,2,1,0
2,83,497,2,4,1,11,12,16,22,5,53,10,63,109,24,42,9,1,64,77,52,171,7,40,1,5,0,0
0,4,546,2,0,2,8,1,5,20,4,39,1,67,50,62,36,11,0,53,103,40,320,7,54,2,5,1,2
5,2,701,2,1,0,5,5,8,29,4,130,4,107,53,87,35,13,0,35,126,74,16,25,88,1,5,2,11
53,601,1139,8,2,7,1,70,7,29,5,50,2,143,56,5,35,3,1,54,123,101,11,48,146,7,40,16,27
157,179,1526,106,71,43,80,1069,237,156,4,54,84,254,450,91,61,13,0,97,223,181,38,206,432,3,228,53,53
18,21,717,27,3,1,79,59,102,98,2,44,64,103,103,76,39,15,6,58,95,74,43,24,99,5,4,2,2
8,12,655,35,14,0,29,203,53,71,11,78,27,160,120,205,90,139,12,58,165,65,152,9,409,66,4,99,2
5,52,576,77,7,0,6,100,94,72,88,75,7,134,128,228,339,53,13,74,290,98,47,14,795,15,91,97,2
1,44,617,4,14,0,0,152,23,54,49,163,5,102,147,70,134,321,19,95,106,29,25,15,321,2,65,0,2
0,29,300,0,0,6,22,58,149,36,69,141,3,86,65,399,1515,259,24,58,90,74,17,5,184,0,2,2,3
0,0,237,0,0,0,26,29,44,62,81,210,2,81,130,268,297,54,10,83,123,31,5,7,47,1,3,2,1
2,3,268,1,0,0,58,63,42,88,18,46,10,144,216,119,96,27,6,24,139,32,30,2,30,1,4,0,5
0,36,464,0,2,0,30,153,93,135,8,61,11,335,180,112,76,18,6,36,123,102,22,4,55,3,3,0,2
3,44,774,1,9,0,22,10,9,49,23,45,26,297,66,110,47,6,3,26,115,242,33,9,115,5,4,3,13
11,52,1174,8,4,1,34,14,19,58,4,87,26,474,92,113,50,7,1,40,150,75,12,24,118,1,12,17,55
16,359,1371,6,5,1,18,59,71,46,4,89,27,540,105,127,56,19,0,20,113,60,11,29,1084,1,11,18,27
253,448,1578,91,37,52,19,47,193,70,24,83,174,323,125,104,56,4,5,73,109,50,18,42,203,15,38,4,65
10,30,1117,15,6,0,29,19,27,52,18,143,31,282,105,191,91,9,1,78,88,60,8,62,112,2,7,0,7
6,37,1087,14,6,3,56,162,210,100,479,351,38,410,352,689,1329,573,6,556,201,179,10,18,790,16,7,1,5
1,6,891,2,0,3,11,36,117,55,108,205,10,325,140,405,401,114,2,349,175,139,8,12,261,1,5,21,0
1,1,639,0,0,3,2,133,25,33,35,89,6,198,108,195,158,30,9,149,88,259,18,9,131,0,456,0,3
0,0,597,0,1,1,3,11,39,13,32,83,9,156,44,256,234,69,6,112,104,71,12,8,78,3,73,0,0
0,2,492,1,0,0,69,20,29,13,37,156,3,163,92,290,590,69,18,88,51,33,16,6,86,1,1,0,0
0,5,531,0,0,4,62,87,148,137,60,110,7,218,218,339,154,30,7,50,143,212,24,2,77,2,1,0,2
3,16,660,2,0,1,10,34,32,59,51,130,14,296,156,332,90,30,3,104,418,465,39,9,88,1,2,1,1
17,10,1006,9,4,2,6,3,15,51,8,115,43,356,147,274,42,9,5,45,118,40,230,21,115,3,3,0,6
20,9,1307,26,4,5,2,11,11,43,17,99,41,400,207,264,34,9,0,91,120,44,8,61,219,3,4,9,32
24,33,1710,12,4,10,0,12,48,49,15,116,53,467,140,282,155,9,1,92,92,60,4,96,362,0,3,12,28
112,74,1287,29,15,65,105,112,38,92,25,89,103,298,58,317,66,42,2,71,74,48,10,69,127,25,86,0,47
23,11,1335,5,25,34,56,402,76,61,30,164,55,360,252,912,173,113,0,101,112,45,9,29,94,3,5,0,6
11,12,1326,11,43,8,41,299,265,57,64,263,57,407,399,2170,1203,215,10,184,192,262,250,32,362,10,376,1,1
5,21,1259,10,11,1,33,136,170,62,74,224,322,369,436,505,895,349,24,166,213,117,255,211,803,38,12,1,0
6,49,570,41,27,121,8,161,208,73,300,166,109,407,553,567,760,359,93,284,180,258,252,110,1046,31,69,531,4
12,1,507,216,34,33,4,149,250,67,602,248,49,390,377,719,2244,1003,36,679,142,420,85,86,269,6,1,132,5
137,8,409,5,2,29,40,163,320,60,883,155,12,218,185,1201,2246,596,8,222,140,122,17,5,165,1,2,3,17
973,47,750,12,33,48,530,1332,1579,494,872,646,208,926,1548,1908,2053,205,27,346,714,311,262,47,229,10,11,16,25
2375,253,1821,275,238,256,418,2140,2081,1293,637,1348,958,2115,4059,2305,2018,2312,111,3562,3304,2226,3478,506,717,15,433,190,114
835,143,1497,798,105,479,72,230,344,428,267,546,308,782,1109,1867,919,1295,130,4424,2234,2982,804,515,775,24,507,372,29
432,42,2307,586,107,193,24,37,1353,447,520,1507,1073,1474,3911,5387,5116,3619,102,1477,1736,3241,757,2699,2624,26,1152,576,23
226,46,2013,468,135,140,60,94,604,356,1767,901,1305,1103,2557,1656,2462,1861,33,124,476,440,1485,1978,755,22,294,96,72
166,91,1635,316,342,154,393,523,719,547,497,329,959,656,406,536,458,182,15,29,206,159,248,159,175,6,139,25,138
59,67,1183,41,203,74,481,464,562,256,129,224,534,320,146,460,234,60,7,34,69,105,56,40,69,1,85,11,94
97,103,1344,6,159,66,510,446,620,416,345,303,433,356,203,522,651,84,10,207,116,137,79,69,278,20,291,40,161
24,24,1169,3,91,44,184,100,280,252,234,204,213,384,141,354,921,202,9,176,137,176,52,48,171,14,91,14,79
12,2,868,3,32,7,46,34,210,151,145,195,65,264,110,296,506,198,39,75,121,48,22,32,122,1,28,24,13
13,0,668,1,11,1,16,16,44,71,94,144,45,195,82,253,429,132,11,36,106,71,11,14,120,1,5,8,11
6,4,531,3,4,0,40,23,55,83,105,115,39,175,90,245,518,114,13,208,107,56,16,15,58,1,3,3,12
26,35,575,9,117,5,100,70,161,109,149,132,74,197,272,325,865,158,12,99,176,110,20,14,70,0,3,0,30
67,50,767,75,222,7,278,367,307,273,99,218,150,226,178,342,660,54,43,27,137,97,52,22,90,1,4,4,40
47,28,1228,22,22,13,167,165,175,162,96,177,146,322,108,337,261,12,20,6,91,106,68,28,145,6,28,29,57
89,21,1730,140,14,48,89,32,66,160,71,232,155,351,125,374,347,18,15,25,128,84,57,66,511,5,83,90,39
224,98,1981,168,23,118,125,27,58,184,137,277,262,490,133,346,107,19,12,38,136,107,42,133,467,41,139,90,43
248,101,1581,82,32,55,83,38,260,182,203,313,311,468,267,432,187,14,12,19,129,98,79,169,256,20,71,30,35
69,43,1604,52,12,42,145,71,218,183,222,342,262,410,225,575,686,50,20,92,145,90,51,95,154,19,34,28,16
22,58,1701,104,32,43,221,149,213,352,308,422,268,581,246,659,566,108,14,124,125,90,79,102,318,27,30,55,30
15,26,1294,73,12,30,167,137,201,353,201,326,166,508,140,447,292,61,5,138,97,51,60,34,372,25,23,36,21
3,11,1047,50,6,17,91,52,143,273,174,277,128,435,156,360,232,53,5,83,85,52,99,44,144,7,7,25,9
2,3,747,33,5,17,24,12,89,188,151,208,74,309,113,290,155,37,8,59,84,38,66,26,157,4,1,19,11
0,4,659,31,5,9,23,17,93,126,105,178,70,268,104,266,138,48,12,40,116,34,61,34,97,5,0,17,7
3,8,705,46,2,4,32,36,100,140,117,312,85,432,260,313,121,28,6,62,83,53,62,45,72,5,2,20,6
4,17,1161,94,16,12,18,52,98,210,131,300,149,486,187,395,162,50,7,98,109,69,56,78,145,3,1,50,20
3,9,1667,197,18,15,28,54,125,289,192,292,200,644,281,394,157,94,5,94,117,83,60,133,280,11,4,44,24
